Species,Country.of.Origin,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Category.One.Defects,Quakers,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Year,id
Arabica,Ethiopia,2015-04-04,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0,0.0,0,1950.0,2200.0,2075.0,2015,231.0
Arabica,Ethiopia,2015-04-04,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0,0.0,1,1950.0,2200.0,2075.0,2015,231.0
Arabica,Guatemala,2010-05-31,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0,0.0,0,1600.0,1800.0,1700.0,2010,320.0
Arabica,Ethiopia,2015-03-26,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0,0.0,2,1800.0,2200.0,2000.0,2015,231.0
Arabica,Ethiopia,2015-04-04,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0,0.0,2,1950.0,2200.0,2075.0,2015,231.0
Arabica,Brazil,2013-09-03,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0,0.0,1,,,,2013,76.0
Arabica,Peru,2012-09-17,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0,0.0,0,,,,2012,604.0
Arabica,Ethiopia,2010-09-02,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0,0.0,0,1570.0,1700.0,1635.0,2010,231.0
Arabica,Ethiopia,2010-09-02,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0,0.0,0,1570.0,1700.0,1635.0,2010,231.0
Arabica,Ethiopia,2015-03-30,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0,0.0,4,1795.0,1850.0,1822.5,2015,231.0
Arabica,Ethiopia,2015-03-27,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0,0.0,1,1855.0,1955.0,1905.0,2015,231.0
Arabica,United States,2015-03-13,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0,0.0,0,1872.0,1872.0,1872.0,2015,840.0
Arabica,United States,2015-03-13,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0,0.0,0,1943.0,1943.0,1943.0,2015,840.0
Arabica,United States,2010-05-31,,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0,0.0,2,609.6,609.6,609.6,2010,840.0
